value_0,value_1,value_2,result
633,651,na,false
521,122,845,false
384,477,544,false
na,668,473,false
188,275,196,false
117,140,610,false
298,855,209,false
790,328,509,false
217,59,130,false
275,329,752,false
895,344,941,false
176,581,756,false
546,177,587,false
231,13,698,false
562,556,535,false
8,292,87,false
538,559,455,false
183,404,na,false
142,361,518,false
790,606,644,false
na,415,251,false
715,492,na,false
558,682,358,false
18,819,473,false
141,na,211,false
615,333,309,false
581,62,85,false
356,144,115,false
986,664,818,true
na,400,888,false
706,78,94,false
435,849,370,false
465,262,602,false
371,797,35,false
908,668,337,false
83,205,786,false
866,474,59,false
640,596,580,false
285,770,106,false
370,719,386,false
571,492,989,false
90,725,172,false
913,616,857,false
340,31,375,false
608,975,400,false
644,265,657,false
923,981,307,false
10,927,41,false
na,530,105,false
816,641,514,false
na,328,590,false
750,654,849,true
952,na,112,false
286,694,667,false
na,447,542,false
392,634,na,false
147,575,na,false
874,na,643,false
336,134,993,false
939,95,816,false
na,756,702,true
413,719,589,false
668,226,687,false
660,954,848,true
405,828,na,false
507,310,569,false
862,5,814,false
995,548,519,false
308,971,na,false
778,570,468,false
576,330,803,false
538,697,940,false
na,958,525,false
443,538,112,false
331,91,591,false
89,360,657,false
na,339,467,false
602,584,619,false
432,308,576,false
335,613,766,false
na,810,187,false
60,608,190,false
289,333,27,false
559,na,581,false
757,37,876,false
652,282,655,false
670,966,987,true
610,889,419,false
875,455,827,false
7,44,741,false
722,256,na,false
894,829,258,false
30,878,522,false
450,364,4,false
726,188,872,false
584,829,629,false
839,760,567,false
na,333,566,false
155,35,301,false
580,646,997,false
na,762,838,true
178,466,551,false
797,235,737,false
117,na,74,false
731,352,576,false
884,875,876,true
660,209,251,false
541,204,na,false
985,783,716,true
229,458,507,false
352,96,803,false
747,629,407,false
5,na,859,false
899,na,915,false
481,177,282,false
285,215,na,false
887,na,312,false
472,578,49,false
662,238,949,false
965,18,493,false
610,428,670,false
na,900,577,false
286,559,584,false
826,251,978,false
na,80,715,false
539,37,222,false
916,656,852,true
454,314,na,false
882,na,62,false
924,704,988,true
830,456,424,false
172,564,687,false
877,339,127,false
625,496,168,false
845,316,945,false
125,406,684,false
593,217,137,false
978,906,905,true
662,477,649,false
na,539,566,false
322,991,197,false
737,398,958,false
254,249,326,false
511,189,541,false
553,650,471,false
336,497,437,false
179,225,na,false
553,na,224,false
774,61,184,false
186,791,677,false
508,4,na,false
439,506,5,false
537,340,800,false
611,983,190,false
538,382,917,false
211,696,39,false
382,na,46,false
563,363,na,false
517,210,51,false
407,553,706,false
818,73,25,false
410,658,563,false
837,758,209,false
117,536,265,false
na,65,187,false
561,767,871,false
494,754,30,false
715,112,636,false
360,na,665,false
145,na,701,false
442,689,737,false
348,122,612,false
32,963,918,false
409,823,986,false
1,647,760,false
255,489,205,false
847,122,738,false
308,378,na,false
813,799,na,true
759,713,278,false
909,206,38,false
707,316,501,false
588,na,305,false
756,506,253,false
356,185,839,false
818,816,390,false
na,309,708,false
501,355,91,false
841,393,na,false
522,68,576,false
na,519,260,false
530,na,839,false
253,203,496,false
169,na,962,false
455,764,na,false
402,715,180,false
986,58,526,false
484,772,592,false
119,467,684,false
305,24,550,false
311,208,915,false
298,550,77,false
na,745,860,false
97,729,88,false
252,284,5,false
135,173,273,false
315,631,644,false
918,920,230,false
na,894,183,false
564,38,19,false
745,816,822,true
489,48,73,false
21,933,32,false
990,na,737,false
346,804,60,false
86,66,727,false
786,486,532,false
20,na,479,false
778,649,882,false
410,872,391,false
324,455,240,false
na,53,785,false
460,642,781,false
992,586,570,false
705,512,822,false
319,na,884,false
29,642,316,false
213,467,368,false
454,556,na,false
694,353,82,false
151,881,330,false
500,31,906,false
599,62,766,false
625,584,283,false
741,270,538,false
57,80,676,false
105,920,959,false
na,704,628,false
na,217,79,false
962,591,na,false
453,41,58,false
152,865,123,false
na,135,822,false
460,305,116,false
306,607,na,false
139,90,160,false
14,981,526,false
na,685,213,false
na,638,193,false
70,736,8,false
220,953,115,false
368,723,930,false
487,894,675,false
323,235,239,false
760,836,818,true
585,na,26,false
331,700,551,false
120,57,204,false
588,896,171,false
593,30,207,false
787,664,158,false
490,81,na,false
143,742,307,false
711,856,161,false
265,na,202,false
172,134,385,false
na,855,767,true
195,na,438,false
847,504,319,false
322,885,855,false
905,826,305,false
376,528,na,false
793,174,523,false
270,91,903,false
862,758,263,false
na,591,106,false
873,844,447,false
534,718,593,false
154,107,372,false
265,254,142,false
222,729,360,false
89,369,475,false
na,269,652,false
109,810,383,false
584,168,95,false
773,523,940,false
547,337,616,false
188,172,87,false
172,706,835,false
871,914,239,false
56,405,852,false
31,167,671,false
730,177,na,false
564,843,799,false
171,496,341,false
765,192,206,false
334,744,965,false
522,880,622,false
709,764,293,false
514,412,630,false
429,417,378,false
199,na,666,false
906,363,652,false
465,455,694,false
984,na,212,false
363,na,864,false
660,622,745,false
610,na,132,false
968,910,246,false
982,28,13,false
834,165,381,false
429,343,163,false
na,47,75,false
504,86,839,false
389,312,176,false
641,844,762,false
107,423,822,false
896,414,668,false
385,437,123,false
539,917,236,false
61,385,429,false
603,398,na,false
604,532,499,false
525,525,719,false
168,988,484,false
154,354,61,false
483,792,98,false
800,368,396,false
738,104,162,false
939,541,242,false
880,467,151,false
391,611,635,false
758,989,210,false
925,829,316,false
na,194,252,false
345,737,689,false
424,472,472,false
815,na,822,false
588,876,360,false
na,97,981,false
862,836,191,false
na,95,684,false
175,na,463,false
186,870,954,false
234,619,687,false
713,756,808,true
535,788,343,false
234,18,61,false
357,839,na,false
690,271,na,false
727,742,na,false
737,748,195,false
58,767,372,false
4,na,912,false
766,835,563,false
539,819,na,false
701,770,166,false
156,778,570,false
245,375,na,false
na,644,529,false
335,328,871,false
789,309,901,false
130,78,na,false
na,743,632,false
659,709,na,true
851,822,90,false
na,467,56,false
592,537,na,false
708,708,868,true
520,991,148,false
107,na,950,false
818,na,745,true
911,534,382,false
na,736,74,false
532,341,378,false
236,295,348,false
na,110,38,false
28,na,344,false
222,na,589,false
929,751,607,false
516,82,939,false
220,246,240,false
225,195,825,false
256,317,173,false
771,923,757,true
9,22,299,false
634,619,7,false
395,446,75,false
944,915,238,false
839,169,294,false
481,814,702,false
644,625,255,false
539,904,795,false
15,614,965,false
862,896,907,true
378,741,na,false
696,864,594,false
147,859,910,false
106,299,33,false
481,818,119,false
570,na,106,false
879,700,967,true
594,na,858,false
734,320,421,false
266,923,136,false
719,804,na,false
564,na,568,false
22,645,355,false
964,702,274,false
359,990,584,false
704,na,962,false
na,817,667,false
679,30,na,false
273,na,271,false
240,856,na,false
na,488,558,false
687,684,851,true
307,925,93,false
780,821,78,false
720,424,969,false
711,760,243,false
483,13,803,false
327,770,290,false
66,460,na,false
na,951,881,false
120,872,7,false
849,566,536,false
na,658,845,false
na,502,37,false
81,302,275,false
365,502,170,false
na,377,464,false
135,795,7,false
559,350,778,false
125,na,897,false
450,163,280,false
734,726,602,false
840,397,268,false
843,316,267,false
51,288,927,false
594,172,189,false
57,565,747,false
255,927,120,false
89,953,158,false
214,988,772,false
686,417,860,false
870,863,629,false
67,980,654,false
na,667,656,true
92,na,83,false
885,464,815,false
419,3,na,false
178,na,2,false
705,840,na,false
278,70,406,false
73,619,119,false
33,400,847,false
10,727,825,false
583,675,680,false
81,463,718,false
925,948,na,false
926,196,841,false
140,na,965,false
863,934,145,false
730,414,na,false
896,309,443,false
409,136,231,false
831,228,941,false
313,435,61,false
33,93,371,false
na,745,56,false
849,543,383,false
395,889,576,false
692,158,638,false
824,857,268,false
60,654,na,false
602,778,229,false
759,364,919,false
883,118,480,false
12,403,232,false
850,37,117,false
792,245,352,false
na,94,31,false
52,621,796,false
298,586,515,false
553,304,786,false
781,867,365,false
112,828,27,false
90,107,482,false
776,718,137,false
697,98,568,false
664,68,292,false
172,445,312,false
587,464,517,false
708,809,865,true
na,740,438,false
279,121,652,false
117,323,634,false
248,116,636,false
515,707,na,false
354,205,134,false
422,na,970,false
793,19,na,false
854,895,912,true
168,na,740,false
815,480,na,false
178,262,na,false
847,na,976,false
530,836,523,false
231,971,262,false
991,94,779,false
956,na,603,false
810,146,542,false
931,na,202,false
609,402,73,false
324,574,375,false
585,na,686,false
550,na,0,false
4,767,114,false
681,901,517,false
156,437,406,false
32,251,757,false
na,902,457,false
983,434,180,false
29,316,24,false
na,301,532,false
685,116,902,false
220,201,58,false
803,539,513,false
960,93,728,false
na,250,195,false
153,434,392,false
na,225,846,false
38,na,186,false
684,693,102,false
354,80,728,false
57,628,917,false
na,618,179,false
348,313,592,false
na,807,405,false
744,288,735,false
421,125,263,false
279,46,na,false
209,na,223,false
953,na,309,false
na,848,368,false
660,8,na,false
581,322,na,false
483,729,272,false
817,145,670,false
475,900,876,false
135,733,866,false
439,618,337,false
247,964,306,false
na,393,282,false
761,685,770,true
541,494,20,false
75,568,149,false
662,364,999,false
219,272,200,false
750,64,na,false
548,737,687,false
870,361,362,false
na,463,899,false
431,746,111,false
586,858,139,false
554,569,331,false
470,na,597,false
969,na,80,false
11,na,304,false
na,967,575,false
na,871,608,false
na,214,520,false
961,na,481,false
698,38,404,false
816,429,387,false
776,290,176,false
989,799,235,false
na,426,143,false
46,982,226,false
519,554,na,false
714,na,933,false
4,na,62,false
591,748,619,false
492,482,172,false
752,354,93,false
387,645,16,false
386,na,466,false
na,848,260,false
94,241,551,false
427,301,504,false
333,na,853,false
na,592,510,false
488,821,287,false
na,306,818,false
207,856,415,false
199,587,513,false
15,144,120,false
733,656,362,false
853,na,197,false
509,726,407,false
927,285,65,false
549,964,455,false
766,312,531,false
546,681,na,false
452,782,532,false
863,67,716,false
652,960,932,true
na,261,208,false
467,na,968,false
174,135,445,false
754,781,764,true
na,207,91,false
562,177,90,false
687,376,217,false
656,302,317,false
58,621,886,false
46,889,888,false
158,682,586,false
312,351,857,false
410,435,577,false
na,20,818,false
741,27,na,false
917,na,493,false
462,365,510,false
580,254,625,false
334,656,na,false
na,614,864,false
83,424,na,false
896,880,na,false
877,986,941,true
253,470,448,false
798,765,807,true
689,809,764,true
990,na,994,false
267,474,720,false
na,227,70,false
na,897,294,false
408,40,na,false
305,na,608,false
103,869,868,false
588,425,628,false
4,550,462,false
na,475,857,false
272,622,756,false
197,624,333,false
265,na,243,false
916,254,165,false
569,666,427,false
392,69,66,false
21,514,na,false
450,116,310,false
514,95,162,false
463,114,8,false
382,95,627,false
856,104,na,false
217,na,829,false
268,899,447,false
618,251,17,false
na,607,317,false
526,707,3,false
474,199,479,false
736,845,36,false
811,na,530,false
629,232,262,false
37,475,585,false
100,448,111,false
65,958,242,false
739,243,644,false
297,457,683,false
95,540,311,false
947,211,na,false
856,900,na,false
862,na,471,false
765,2,950,false
305,534,na,false
882,753,367,false
684,221,166,false
596,126,455,false
na,765,947,false
496,419,156,false
783,839,444,false
930,994,941,true
226,234,762,false
347,54,na,false
417,242,463,false
na,560,886,false
173,883,7,false
229,359,414,false
366,385,320,false
810,525,465,false
306,4,11,false
388,773,712,false
985,625,479,false
662,828,na,false
na,838,345,false
520,700,47,false
251,19,709,false
352,835,622,false
797,430,21,false
227,577,353,false
460,270,242,false
294,na,105,false
481,220,960,false
925,498,44,false
326,9,834,false
483,na,190,false
na,23,135,false
186,68,622,false
332,530,715,false
na,140,266,false
996,56,909,false
825,187,234,false
236,726,489,false
872,426,na,false
351,43,832,false
434,978,na,false
29,900,595,false
na,409,878,false
402,339,294,false
741,770,799,true
174,913,756,false
954,na,191,false
526,974,29,false
187,446,852,false
434,448,223,false
na,657,639,false
332,173,na,false
987,na,684,false
719,253,75,false
na,392,366,false
991,744,305,false
454,773,527,false
614,697,62,false
947,959,na,false
na,927,694,false
602,302,587,false
625,420,836,false
878,922,538,false
495,318,602,false
919,38,764,false
180,875,641,false
422,885,49,false
326,502,na,false
548,734,261,false
446,872,537,false
607,na,331,false
322,701,259,false
888,48,438,false
96,32,342,false
598,420,845,false
na,364,648,false
na,985,310,false
587,72,335,false
826,515,274,false
519,511,831,false
686,na,109,false
na,210,602,false
na,910,116,false
558,na,513,false
867,761,347,false
479,74,142,false
168,789,717,false
625,838,130,false
619,130,681,false
770,691,992,true
423,na,810,false
915,39,893,false
724,676,388,false
184,na,683,false
606,275,651,false
44,247,864,false
113,37,649,false
876,674,204,false
847,325,568,false
800,609,506,false
na,182,361,false
610,184,684,false
424,415,49,false
450,502,na,false
472,320,502,false
559,234,605,false
474,na,732,false
581,727,176,false
na,659,649,false
479,798,555,false
na,784,906,false
931,434,879,false
187,669,401,false
657,901,954,true
318,766,291,false
719,139,889,false
70,737,539,false
881,834,142,false
476,167,460,false
305,269,284,false
168,626,282,false
409,356,719,false
782,335,19,false
94,793,719,false
156,804,183,false
470,583,948,false
809,633,184,false
114,243,738,false
911,825,34,false
na,613,103,false
na,755,282,false
864,214,615,false
na,524,561,false
786,269,324,false
220,706,265,false
276,438,814,false
140,279,210,false
610,614,155,false
433,126,883,false
304,379,755,false
329,709,87,false
224,603,na,false
868,28,229,false
184,349,812,false
na,224,999,false
118,137,73,false
614,605,853,false
415,93,732,false
905,187,951,false
8,643,50,false
438,73,732,false
131,927,335,false
180,831,29,false
229,471,200,false
508,634,195,false
660,498,786,false
722,188,842,false
832,572,527,false
556,935,657,false
764,288,786,false
224,778,6,false
539,na,95,false
466,957,300,false
48,590,258,false
570,215,728,false
na,991,401,false
60,0,914,false
na,453,929,false
639,573,220,false
4,357,986,false
620,910,930,false
940,441,584,false
758,952,942,true
197,na,600,false
812,605,na,false
384,288,na,false
84,375,80,false
741,na,356,false
308,823,348,false
970,328,959,false
na,389,844,false
251,368,na,false
763,399,na,false
na,899,981,false
943,na,994,false
na,192,477,false
293,510,165,false
993,419,67,false
378,403,221,false
449,773,na,false
24,347,120,false
397,466,397,false
547,932,435,false
839,372,69,false
53,681,56,false
191,562,854,false
585,628,150,false
439,601,693,false
748,531,85,false
na,423,184,false
516,242,770,false
362,473,457,false
415,202,328,false
548,376,na,false
219,na,280,false
579,498,760,false
na,927,744,true
293,442,835,false
869,30,255,false
766,644,475,false
18,na,714,false
17,758,na,false
na,859,189,false
670,na,810,true
416,137,132,false
234,828,na,false
547,144,86,false
930,917,609,false
166,905,574,false
247,303,59,false
536,79,684,false
na,564,862,false
783,na,81,false
134,93,841,false
664,141,573,false
479,655,644,false
413,469,67,false
869,445,459,false
251,572,873,false
722,366,828,false
385,828,566,false
728,674,745,true
428,252,na,false
204,156,82,false
355,500,808,false
2,402,815,false
859,399,986,false
337,816,246,false
360,114,124,false
931,na,79,false
128,631,392,false
220,152,506,false
133,999,na,false
963,87,259,false
na,951,791,true
181,786,248,false
947,747,258,false
833,856,na,true
893,392,223,false
667,529,670,false
32,158,781,false
30,432,66,false
435,329,49,false
29,13,95,false
71,na,1,false
376,495,na,false
555,585,830,false
784,352,41,false
985,386,970,false
952,85,874,false
751,389,317,false
894,284,291,false
442,285,36,false
190,928,688,false
968,287,768,false
na,263,756,false
707,234,822,false
635,na,543,false
446,na,207,false
93,114,na,false
466,671,320,false
na,292,205,false
na,69,437,false
778,136,806,false
584,691,816,false
348,629,758,false
554,153,na,false
912,249,572,false
802,132,na,false
116,na,239,false
673,54,736,false
583,847,484,false
145,844,522,false
0,748,843,false
312,679,164,false
na,3,852,false
241,329,556,false
999,211,485,false
323,648,125,false
776,895,380,false
288,80,267,false
na,720,219,false
na,22,890,false
812,354,952,false
531,740,681,false
183,774,na,false
779,409,na,false
350,596,385,false
181,443,868,false
150,872,60,false
41,989,161,false
514,na,966,false
706,779,326,false
na,263,54,false
75,901,89,false
893,92,91,false
56,43,86,false
20,889,848,false
864,717,571,false
281,626,394,false
460,na,665,false
146,925,680,false
306,813,439,false
296,na,629,false
84,224,523,false
257,885,963,false
767,717,566,false
144,148,832,false
134,693,361,false
201,776,934,false
590,966,718,false
941,644,28,false
261,602,469,false
198,952,239,false
na,342,11,false
953,609,669,false
454,687,89,false
855,630,308,false
na,650,227,false
795,338,572,false
300,490,284,false
880,605,401,false
116,10,63,false
444,644,313,false
606,397,474,false
933,919,240,false
435,523,70,false
295,339,357,false
535,889,670,false
585,539,758,false
748,na,86,false
543,350,289,false
817,14,292,false
320,465,741,false
772,854,31,false
729,52,189,false
675,857,750,true
799,759,401,false
549,540,613,false
242,na,321,false
493,555,632,false
783,620,503,false
678,200,538,false
na,907,66,false
391,408,943,false
746,145,284,false
na,530,640,false
492,930,539,false
915,544,838,false
649,394,457,false
74,631,837,false
35,na,657,false
477,na,932,false
479,773,197,false
544,998,684,false
571,949,838,false
98,319,24,false
244,913,797,false
894,810,591,false
606,na,546,false
na,253,30,false
181,497,na,false
741,658,617,false
266,623,772,false
21,411,2,false
661,670,98,false
194,132,808,false
109,378,na,false
74,327,864,false
948,527,357,false
35,326,128,false
954,475,311,false
na,453,928,false
517,na,987,false
456,608,366,false
422,598,655,false
689,569,671,false
622,208,579,false
23,152,na,false
525,947,398,false
625,720,758,false
na,753,246,false
38,665,346,false
378,955,635,false
313,115,368,false
366,300,925,false
486,590,299,false
988,843,na,true
251,262,49,false
800,217,821,false
782,413,475,false
930,348,879,false
291,790,325,false
54,958,665,false
899,na,874,true
452,373,666,false
858,565,129,false
967,575,591,false
419,500,690,false
110,992,687,false
204,160,948,false
606,521,719,false
285,82,151,false
259,107,909,false
728,855,262,false
342,653,632,false
17,197,486,false
646,61,538,false
na,227,126,false
589,527,479,false
380,175,na,false
814,588,845,false
675,684,369,false
900,398,779,false
592,874,na,false
817,na,242,false
na,858,165,false
723,591,28,false
125,na,957,false
590,917,198,false
na,723,691,false
314,273,714,false
621,194,na,false
375,516,867,false
713,324,707,false
663,553,na,false
628,na,229,false
582,513,616,false
621,764,19,false
468,250,282,false
207,53,979,false
631,618,642,false
391,152,741,false
980,na,809,false
40,346,415,false
na,763,840,false
330,734,232,false
503,146,na,false
542,788,439,false
80,na,374,false
878,na,279,false
443,194,710,false
956,82,985,false
985,na,258,false
900,443,340,false
159,na,886,false
380,429,590,false
407,na,608,false
973,490,898,false
na,50,424,false
452,na,850,false
37,na,339,false
636,49,171,false
922,327,341,false
898,667,268,false
776,923,688,true
857,921,919,true
653,322,47,false
81,620,337,false
617,636,761,false
18,na,674,false
161,311,870,false
927,507,8,false
421,730,565,false
867,161,171,false
300,na,829,false
888,541,310,false
710,544,508,false
463,622,617,false
759,92,545,false
682,na,908,false
185,808,681,false
576,150,675,false
774,207,749,false
956,168,239,false
793,400,746,false
412,138,901,false
150,925,669,false
66,905,na,false
877,na,288,false
468,381,182,false
654,243,351,false
688,na,117,false
na,219,756,false
592,95,127,false
na,57,191,false
41,797,126,false
748,706,195,false
396,422,na,false
84,814,152,false
399,723,519,false
823,438,461,false
283,943,78,false
na,372,999,false
136,106,508,false
637,478,702,false
523,122,646,false
161,70,887,false
824,317,477,false
na,403,29,false
904,351,578,false
22,294,918,false
836,984,120,false
295,16,705,false
na,609,980,false
325,56,280,false
300,367,188,false
392,258,567,false
37,444,190,false
na,320,127,false
743,224,na,false
15,231,na,false
42,81,452,false
638,612,871,false
902,569,637,false
110,742,295,false
418,253,252,false
na,8,668,false
923,107,368,false
171,415,524,false
na,822,164,false
14,893,19,false
946,915,66,false
438,230,807,false
232,639,695,false
307,572,470,false
737,495,621,false
na,821,322,false
602,756,47,false
993,152,37,false
41,245,614,false
860,818,96,false
921,607,446,false
321,686,478,false
na,959,623,false
786,631,289,false
901,na,324,false
656,899,379,false
685,779,117,false
188,357,903,false
693,589,602,false
955,793,171,false
971,546,880,false
182,802,455,false
183,66,709,false
816,22,187,false
895,48,989,false
934,526,69,false
216,81,212,false
599,323,584,false
67,628,569,false
517,696,910,false
89,424,765,false
146,524,471,false
775,na,385,false
598,415,59,false
271,na,940,false
723,895,932,true
857,380,17,false
876,352,581,false
643,na,770,false
922,602,957,false
852,951,322,false
584,272,274,false
508,960,135,false
418,na,966,false
118,892,531,false
670,987,436,false
443,302,751,false
850,229,4,false
286,692,311,false
349,94,478,false
796,866,na,false
503,8,231,false
na,465,783,false
11,206,na,false
159,125,845,false
670,435,762,false
na,189,913,false
na,836,673,true
851,na,116,false
96,12,23,false
997,570,268,false
428,335,934,false
269,35,252,false
895,629,101,false
538,816,384,false
760,655,na,true
na,225,440,false
15,237,998,false
59,820,122,false
250,199,926,false
443,655,937,false
135,134,564,false
855,290,na,false
835,932,260,false
642,702,343,false
637,385,na,false
164,598,604,false
684,823,460,false
951,427,417,false
569,454,762,false
917,37,702,false
25,831,na,false
213,484,385,false
31,970,744,false
237,912,771,false
886,597,na,false
na,274,968,false
649,34,839,false
925,495,848,false
515,275,920,false
900,110,395,false
439,505,na,false
737,703,592,false
392,118,43,false
602,611,156,false
333,325,524,false
642,84,189,false
41,45,830,false
na,944,705,true
902,95,131,false
372,691,135,false
na,563,501,false
na,168,393,false
722,775,688,true
754,169,479,false
34,454,735,false
467,858,33,false
159,na,554,false
689,263,514,false
na,168,820,false
255,554,na,false
760,na,190,false
108,417,943,false
632,711,193,false
364,959,941,false
242,543,938,false
543,486,824,false
48,972,587,false
578,334,435,false
301,422,979,false
822,792,na,false
391,53,890,false
253,289,194,false
753,133,na,false
917,492,888,false
na,338,921,false
150,298,588,false
970,923,732,true
571,589,470,false
na,569,323,false
441,772,371,false
327,928,na,false
na,211,819,false
201,557,293,false
732,362,409,false
94,na,749,false
44,960,148,false
39,866,842,false
575,463,978,false
747,44,88,false
259,805,940,false
71,256,786,false
203,370,na,false
259,737,637,false
672,573,586,false
134,865,746,false
646,525,896,false
665,54,221,false
361,278,75,false
569,890,na,false
210,161,597,false
693,777,687,true
906,153,696,false
963,259,989,false
na,957,625,false
na,126,195,false
788,283,904,false
946,182,872,false
570,946,416,false
na,394,206,false
550,950,455,false
323,363,564,false
570,574,160,false
880,847,905,true
578,560,600,false
698,na,804,true
246,362,na,false
643,99,411,false
274,721,na,false
815,831,23,false
553,4,414,false
75,754,86,false
357,258,538,false
580,449,500,false
274,950,885,false
389,452,923,false
789,647,836,false
871,237,361,false
183,234,966,false
962,119,654,false
209,281,492,false
977,882,484,false
768,294,887,false
194,291,93,false
65,789,213,false
451,382,472,false
485,239,na,false
766,221,360,false
652,845,585,false
584,na,330,false
90,na,686,false
289,216,362,false
330,991,7,false
428,152,na,false
410,185,101,false
952,478,na,false
na,662,457,false
655,682,na,false
826,175,119,false
638,479,453,false
788,995,949,true
105,563,70,false
95,196,956,false
471,5,393,false
447,127,135,false
543,na,796,false
776,979,156,false
966,307,28,false
778,798,63,false
277,768,267,false
525,250,207,false
