value1,value2,value3,result
19,23,43,false
22,10,6,false
14,6,11,false
63,47,61,false
12,44,88,false
96,29,22,false
4,73,82,false
48,52,29,false
32,21,38,false
52,15,98,false
44,64,79,false
69,57,66,false
35,50,27,false
84,39,67,false
89,0,46,false
77,49,34,false
78,26,51,false
19,88,81,false
44,14,45,false
62,77,71,false
12,91,72,false
78,71,68,false
14,35,73,false
95,0,59,false
93,91,12,false
85,55,54,false
86,77,52,true
54,24,23,false
14,94,25,false
59,30,5,false
35,19,91,false
93,46,88,false
85,44,91,false
29,76,82,false
76,8,34,false
46,83,25,false
42,86,94,true
19,47,13,false
46,72,56,false
5,24,53,false
89,24,73,false
21,77,34,false
15,5,17,false
94,81,69,false
40,1,0,false
47,68,49,false
91,16,19,false
39,27,11,false
80,29,5,false
73,84,53,false
14,75,58,false
63,50,27,false
7,91,32,false
70,14,72,false
97,11,92,false
66,68,49,false
47,14,23,false
55,31,40,false
25,97,82,false
70,32,0,false
41,36,61,false
99,48,0,false
3,65,45,false
18,4,46,false
87,74,12,false
77,42,83,false
80,93,71,true
52,30,12,false
65,2,1,false
26,34,65,false
99,58,53,false
12,27,83,false
78,60,56,false
90,49,29,false
16,99,87,false
79,48,76,false
86,12,29,false
65,39,59,false
20,35,47,false
22,13,68,false
23,93,9,false
23,37,62,false
31,29,57,false
42,71,67,false
37,38,63,false
92,26,15,false
54,20,51,false
12,5,83,false
71,89,60,false
19,21,43,false
92,30,34,false
47,26,18,false
82,13,99,false
88,70,10,false
52,86,69,false
4,53,57,false
58,85,56,false
11,92,70,false
13,48,44,false
67,9,46,false
62,46,67,false
86,81,73,true
24,66,3,false
66,91,80,false
74,48,57,false
64,97,18,false
35,65,86,false
52,92,96,false
91,73,65,false
61,20,28,false
12,90,3,false
11,1,18,false
72,6,30,false
28,83,79,false
1,22,79,false
44,41,54,false
95,77,47,true
89,12,76,false
68,33,23,false
19,5,89,false
25,58,35,false
46,78,82,false
95,75,54,true
77,65,36,false
16,79,98,false
44,26,41,false
16,50,72,false
53,63,37,false
99,61,71,false
14,4,55,false
61,97,97,false
50,14,32,false
8,0,49,false
38,0,27,false
72,58,53,false
9,21,60,false
83,49,70,false
57,19,17,false
89,6,67,false
38,91,98,false
23,12,97,false
65,85,16,false
80,20,52,false
49,31,29,false
12,66,89,false
95,59,67,false
21,10,22,false
33,59,67,false
26,81,12,false
90,6,63,false
69,92,34,false
21,38,93,false
15,21,28,false
35,89,33,false
20,7,79,false
35,94,24,false
17,39,66,false
75,37,64,false
40,54,5,false
40,62,66,false
90,67,8,false
47,95,75,true
80,52,99,false
47,8,46,false
65,50,26,false
63,18,46,false
29,54,70,false
44,60,82,false
31,6,74,false
35,20,32,false
69,8,82,false
4,22,69,false
11,53,93,false
6,19,95,false
76,4,12,false
40,15,86,false
78,50,34,false
16,29,62,false
46,72,72,false
14,61,53,false
6,27,45,false
29,22,14,false
53,64,91,false
79,21,63,false
46,9,31,false
79,38,89,false
91,11,91,false
98,63,49,false
63,31,8,false
73,54,55,false
22,7,24,false
71,82,75,true
45,14,7,false
64,56,9,false
45,5,89,false
6,1,94,false
33,93,82,false
21,50,69,false
48,72,84,false
8,85,22,false
68,92,57,false
35,27,36,false
58,10,59,false
20,47,55,false
7,73,47,false
28,14,48,false
24,24,17,false
47,15,49,false
97,11,21,false
61,93,97,false
47,98,9,false
71,69,5,false
36,30,46,false
57,10,81,false
94,64,39,false
77,81,70,true
21,60,77,false
56,3,70,false
48,49,12,false
1,22,48,false
95,15,76,false
15,76,79,false
72,53,28,false
5,69,76,false
87,47,58,false
96,39,55,false
66,24,48,false
74,98,70,true
16,90,35,false
66,84,16,false
32,32,26,false
24,19,4,false
2,10,16,false
28,23,91,false
94,33,82,false
37,75,82,false
91,4,37,false
51,93,78,false
50,33,22,false
56,48,67,false
6,33,10,false
71,74,79,false
43,89,57,false
26,82,11,false
10,1,58,false
48,18,70,false
95,97,54,false
21,67,5,false
25,64,43,false
47,42,75,false
4,35,27,false
68,72,50,false
47,54,35,false
32,51,65,false
93,70,14,false
64,66,76,false
47,63,9,false
93,77,84,true
31,5,75,false
36,60,85,false
71,39,88,false
75,0,89,false
27,80,7,false
97,48,87,false
56,60,55,false
20,70,59,false
54,66,97,true
54,88,55,false
21,24,20,false
15,39,11,false
95,67,39,false
35,65,34,false
91,24,16,false
41,76,27,false
98,36,80,false
80,26,93,false
84,7,65,false
24,2,0,false
37,93,45,false
29,77,8,false
78,63,97,false
9,39,70,false
89,61,49,false
35,65,58,false
95,68,56,true
33,34,48,false
16,74,39,false
94,5,28,false
20,43,44,false
52,57,44,false
65,75,63,false
38,19,72,false
22,27,12,false
96,95,21,true
50,45,16,false
87,12,48,false
28,93,11,false
73,73,40,false
37,90,10,false
42,78,79,false
13,22,10,false
19,41,0,false
54,37,84,false
68,74,56,false
68,90,97,false
58,12,75,false
21,94,12,false
63,86,66,true
43,98,68,false
51,89,39,false
59,6,35,false
85,19,36,false
8,35,71,false
88,99,73,true
84,36,6,false
9,43,9,false
90,90,62,false
49,58,79,false
11,30,74,false
61,10,82,false
67,11,54,false
24,56,67,false
52,61,63,false
33,33,84,false
14,37,94,false
35,18,14,false
77,26,79,false
2,41,43,false
78,42,2,false
45,92,10,false
88,55,22,false
50,36,85,false
82,88,27,false
24,58,7,false
62,63,56,false
57,13,18,false
6,12,91,false
52,19,7,false
95,30,8,false
19,63,21,false
22,10,74,false
13,40,33,false
48,56,13,false
57,94,59,false
3,76,98,false
17,59,74,false
82,93,15,false
52,53,13,false
54,65,76,false
13,35,86,false
52,83,95,false
8,54,88,false
98,74,17,false
5,62,94,false
36,96,94,false
78,16,79,false
22,0,12,false
20,28,83,false
71,49,64,false
69,34,0,false
99,81,28,false
81,30,92,false
83,18,55,false
60,49,82,false
86,80,72,true
46,39,74,false
25,47,94,false
64,77,56,false
77,47,47,false
71,22,67,false
59,20,33,false
65,29,36,false
16,63,78,false
18,46,10,false
94,36,99,false
18,53,27,false
2,83,58,false
16,37,16,false
51,84,14,false
38,9,92,false
14,88,62,false
94,85,31,false
89,5,62,false
96,79,14,false
55,30,99,false
9,53,3,false
83,22,8,false
14,59,86,false
22,71,92,false
51,99,26,false
9,3,81,false
79,25,41,false
41,76,31,false
96,70,42,false
87,5,41,false
72,66,81,true
45,36,65,false
96,97,66,false
52,52,24,false
52,98,3,false
28,29,18,false
21,53,18,false
88,85,35,false
72,38,89,false
94,93,13,false
8,63,99,false
33,91,87,false
95,21,93,false
43,10,57,false
49,93,37,false
82,84,35,false
38,83,72,false
36,65,13,false
24,41,53,false
54,50,66,false
24,79,53,false
68,75,31,false
69,70,16,false
83,93,74,true
79,39,76,false
86,56,23,false
21,97,27,false
90,82,72,true
84,60,25,false
23,9,17,false
80,45,26,false
48,50,51,false
27,10,59,false
26,60,24,false
94,58,0,false
0,43,48,false
28,23,24,false
49,41,30,false
17,57,99,false
54,35,36,false
32,71,78,false
11,45,36,false
19,14,27,false
96,53,5,false
76,46,48,false
53,25,82,false
48,22,32,false
22,88,56,false
99,27,54,false
84,76,13,false
73,73,8,false
70,94,10,false
71,18,28,false
18,97,17,false
87,28,59,false
98,50,33,false
54,60,97,false
29,27,98,false
50,98,37,false
50,47,42,false
23,56,62,false
6,44,90,false
57,47,36,false
92,3,30,false
97,53,34,false
5,39,56,false
96,90,3,false
24,36,78,false
35,61,23,false
18,12,27,false
25,50,36,false
95,90,42,true
61,74,97,true
15,37,66,false
89,15,7,false
15,2,75,false
28,10,37,false
68,48,39,false
17,58,51,false
79,37,95,false
82,22,11,false
63,44,70,false
74,5,30,false
34,42,64,false
89,67,29,false
76,12,47,false
35,86,90,true
44,3,16,false
43,88,2,false
33,98,49,false
7,92,63,false
63,68,3,false
82,39,42,false
25,86,41,false
95,11,9,false
59,36,72,false
61,55,30,false
94,66,98,false
52,49,46,false
8,87,3,false
21,28,81,false
11,71,45,false
64,60,4,false
35,2,82,false
67,43,64,false
39,50,45,false
24,55,45,false
8,56,94,false
57,85,44,false
91,61,90,false
8,26,65,false
6,12,84,false
8,41,41,false
99,88,73,true
68,66,36,false
33,22,74,false
70,35,19,false
10,6,5,false
0,69,68,false
45,33,17,false
94,29,24,false
18,82,2,false
16,22,44,false
80,1,28,false
95,59,1,false
23,10,46,false
88,80,93,true
1,5,68,false
78,75,34,false
48,39,98,false
51,44,42,false
85,18,59,false
1,15,62,false
29,47,62,false
1,79,32,false
8,32,79,false
29,31,0,false
56,40,24,false
11,17,43,false
93,42,47,false
99,27,49,false
22,16,3,false
67,96,64,false
57,93,11,false
90,34,39,false
39,84,18,false
54,84,11,false
68,72,33,false
58,1,26,false
45,32,71,false
34,22,6,false
19,33,70,false
83,15,15,false
89,5,53,false
75,42,92,false
94,1,72,false
67,38,70,false
4,43,77,false
82,46,80,false
41,21,58,false
55,23,80,false
86,82,38,false
17,65,16,false
19,38,39,false
77,91,74,true
56,37,62,false
41,39,29,false
68,77,5,false
18,91,95,false
66,3,85,false
45,8,15,false
72,15,49,false
23,29,88,false
96,82,57,true
10,66,14,false
70,78,89,false
26,20,42,false
65,70,94,false
58,46,5,false
69,17,91,false
55,7,72,false
45,61,77,false
52,64,57,false
11,50,90,false
34,42,63,false
36,44,55,false
5,38,40,false
50,48,62,false
8,55,62,false
21,63,35,false
72,37,92,false
40,89,83,false
72,12,52,false
13,88,1,false
48,99,24,false
61,14,22,false
28,89,23,false
45,5,54,false
7,82,41,false
87,54,40,false
58,58,46,false
55,86,16,false
48,6,0,false
44,60,75,false
7,80,30,false
77,4,61,false
34,63,75,false
45,34,61,false
91,42,48,false
14,67,20,false
2,9,24,false
72,66,24,false
20,81,66,false
30,25,69,false
13,8,32,false
2,89,77,false
2,34,76,false
40,1,64,false
71,55,56,false
72,74,54,false
80,59,61,false
32,11,89,false
17,2,74,false
64,43,11,false
43,66,50,false
8,82,86,false
60,54,62,false
28,34,64,false
81,24,69,false
47,12,81,false
34,46,64,false
83,7,43,false
9,17,40,false
14,89,81,false
48,91,55,false
40,71,14,false
14,58,73,false
36,24,20,false
26,25,8,false
27,46,66,false
67,76,5,false
91,60,91,false
19,61,24,false
33,6,75,false
29,12,60,false
60,23,26,false
17,31,20,false
40,6,71,false
20,77,48,false
76,9,70,false
40,42,21,false
34,58,9,false
44,92,86,false
74,1,91,false
10,89,36,false
17,57,40,false
56,91,39,false
98,30,88,true
58,67,82,false
36,29,81,false
56,61,23,false
62,82,32,false
35,47,96,false
87,89,96,true
4,27,26,false
99,97,55,false
86,67,29,false
17,63,10,false
91,48,50,false
31,90,79,false
27,24,50,false
53,19,76,false
3,83,30,false
86,49,14,false
95,14,32,false
14,19,95,false
97,80,5,false
94,51,47,false
85,13,63,false
23,80,97,false
15,6,48,false
15,37,36,false
6,81,79,false
99,48,82,true
9,90,23,false
75,86,64,true
77,17,46,false
97,6,42,false
84,11,15,false
54,57,60,false
29,88,8,false
30,66,49,false
12,60,62,false
31,66,59,false
35,78,73,false
12,25,44,false
43,18,21,false
47,43,41,false
12,1,33,false
40,45,3,false
59,64,69,false
58,94,57,false
77,33,38,false
34,98,36,false
19,57,48,false
79,15,13,false
63,43,81,false
88,12,57,false
25,54,84,false
73,20,84,false
3,65,15,false
37,78,4,false
86,39,38,false
10,86,22,false
61,10,28,false
7,68,67,false
6,40,8,false
40,21,45,false
51,15,21,false
74,3,25,false
40,70,5,false
28,33,68,false
40,82,45,false
22,89,62,false
38,65,94,false
5,36,95,false
99,35,65,false
52,37,95,false
41,19,78,false
37,17,48,false
15,99,65,false
76,49,33,false
6,65,19,false
19,63,81,false
81,91,80,true
10,6,16,false
96,32,20,false
13,56,62,false
88,7,41,false
34,57,23,false
95,9,3,false
24,56,12,false
49,50,72,false
35,28,80,false
91,59,87,false
22,9,23,false
96,7,73,false
44,78,39,false
44,75,10,false
18,16,20,false
58,49,91,false
3,88,73,false
44,98,73,false
2,14,92,false
22,37,23,false
45,50,71,false
79,8,90,false
44,71,99,true
14,41,29,false
67,4,26,false
4,33,98,false
8,74,91,false
54,92,76,true
42,29,64,false
7,59,61,false
53,2,27,false
93,9,77,false
7,1,95,false
16,30,43,false
27,61,66,false
40,71,61,false
48,21,51,false
87,52,71,false
93,59,8,false
6,84,71,false
42,8,72,false
60,9,2,false
83,71,95,true
54,98,23,false
7,79,42,false
12,37,62,false
22,3,4,false
86,59,36,false
48,42,51,false
54,84,20,false
83,5,84,false
70,76,58,false
34,49,37,false
56,68,49,false
60,78,38,false
47,18,7,false
95,28,21,false
57,63,83,false
25,63,99,false
55,71,38,false
53,59,6,false
82,73,69,true
70,49,70,false
76,41,58,false
39,69,37,false
53,34,81,false
90,6,69,false
52,69,27,false
73,30,11,false
65,56,91,true
19,83,89,false
25,39,74,false
96,10,91,false
41,64,10,false
37,96,18,false
12,76,85,false
1,6,27,false
82,84,10,false
40,35,1,false
69,10,61,false
52,17,35,false
85,83,7,false
85,8,7,false
61,55,31,false
60,26,89,false
8,17,48,false
6,87,18,false
79,55,28,false
51,11,48,false
49,36,8,false
9,96,39,false
8,20,48,false
41,55,39,false
29,20,62,false
70,35,26,false
21,98,34,false
24,95,11,false
36,30,28,false
48,56,43,false
22,50,52,false
41,37,72,false
99,99,8,false
58,48,67,false
38,76,95,false
91,83,83,true
49,23,57,false
23,64,62,false
90,48,88,true
2,91,97,false
59,46,35,false
7,52,8,false
58,60,20,false
7,26,2,false
4,55,6,false
35,88,51,false
66,57,42,false
95,78,76,true
99,85,36,false
25,4,28,false
9,47,67,false
85,42,30,false
40,46,1,false
74,32,35,false
24,37,3,false
87,21,20,false
66,20,60,false
81,18,13,false
71,27,20,false
59,55,26,false
91,94,81,true
91,61,12,false
5,71,5,false
78,10,74,false
30,82,60,false
10,2,48,false
92,98,68,false
44,21,92,false
99,50,36,false
95,75,70,true
53,52,54,false
63,25,63,false
79,47,29,false
11,68,92,false
65,98,79,false
90,86,30,false
3,1,21,false
70,92,62,false
93,9,59,false
45,37,79,false
80,19,3,false
74,90,41,false
76,23,82,false
17,73,97,false
53,88,84,true
19,92,46,false
91,47,89,true
84,23,66,false
74,41,53,false
88,71,66,false
84,68,66,false
41,56,56,false
6,41,25,false
75,5,16,false
22,71,74,false
76,65,25,false
19,5,60,false
83,35,10,false
95,62,64,true
24,5,63,false
48,43,95,false
81,36,61,false
86,82,57,true
35,84,5,false
38,66,59,false
22,45,41,false
96,32,86,false
89,88,13,false
90,32,78,false
36,41,24,false
35,24,80,false
85,39,22,false
89,34,94,false
36,50,71,false
59,62,4,false
76,64,60,false
77,57,27,false
38,25,53,false
96,81,93,true
22,47,32,false
48,18,2,false
70,35,26,false
79,13,27,false
43,24,82,false
23,85,82,false
29,24,32,false
30,38,26,false
55,81,50,false
15,67,84,false
20,15,60,false
2,55,39,false
40,46,9,false
67,4,88,false
74,36,25,false
79,67,39,false
64,73,10,false
52,49,24,false
46,46,31,false
10,53,48,false
16,24,94,false
42,33,39,false
35,42,13,false
44,8,6,false
71,78,20,false
34,14,89,false
52,14,44,false
2,57,62,false
79,46,13,false
15,21,29,false
19,96,24,false
53,24,29,false
73,0,50,false
68,57,51,false
39,61,37,false
71,31,52,false
44,66,4,false
35,57,39,false
58,53,31,false
36,46,39,false
84,54,85,true
65,3,2,false
38,64,35,false
82,77,65,true
67,43,67,false
61,19,55,false
7,17,32,false
92,94,58,false
53,38,84,false
29,98,36,false
61,86,21,false
94,53,69,false
71,57,58,false
13,46,12,false
10,80,15,false
33,3,89,false
10,37,4,false
51,99,25,false
14,34,80,false
10,30,76,false
72,57,83,true
60,43,80,false
60,77,45,false
5,73,11,false
42,50,5,false
77,22,1,false
91,57,4,false
16,43,53,false
96,84,45,true
17,94,93,false
40,58,51,false
30,45,32,false
87,52,85,false
94,4,90,false
92,84,90,true
40,75,19,false
14,13,59,false
52,88,30,false
36,14,7,false
13,30,50,false
65,92,8,false
60,75,77,false
20,11,1,false
62,2,8,false
5,49,28,false
25,66,8,false
45,98,93,false
34,3,27,false
44,1,94,false
15,64,2,false
91,36,41,false
20,40,87,false
63,84,11,false
54,55,14,false
8,80,49,false
69,91,5,false
89,56,40,false
65,42,74,false
87,30,34,false
62,99,99,false
56,2,91,false
76,87,42,false
95,79,2,false
54,85,0,false
22,13,3,false
2,44,96,false
35,55,74,false
54,30,10,false
34,62,97,false
75,52,96,false
40,84,17,false
66,48,11,false
59,21,78,false
8,96,56,false
11,68,34,false
35,47,79,false
4,34,10,false
10,57,13,false
28,74,60,false
49,64,71,false
91,83,47,false
28,76,35,false
85,25,87,false
7,20,15,false
1,75,17,false
4,91,36,false
73,66,27,false
39,11,92,false
2,85,2,false
96,70,88,true
43,55,15,false
23,1,86,false
80,59,60,false
82,95,58,true
70,71,99,true
89,4,83,false
80,11,34,false
83,94,63,false
55,47,76,false
31,64,36,false
63,27,64,false
68,52,78,false
88,98,74,true
90,4,46,false
48,6,46,false
4,65,23,false
19,95,28,false
51,83,57,false
3,94,79,false
18,62,64,false
5,29,48,false
77,67,43,false
15,95,38,false
95,6,61,false
53,29,52,false
41,31,88,false
67,8,2,false
70,91,39,false
2,3,50,false
2,54,41,false
25,29,62,false
98,1,67,false
10,57,27,false
82,27,63,false
29,14,12,false
78,31,10,false
65,32,79,false
76,67,18,false
73,26,83,false
97,66,85,false
62,42,61,false
39,13,49,false
16,14,31,false
60,25,3,false
76,1,92,false
21,89,47,false
40,73,47,false
71,47,91,false
32,86,87,false
1,89,16,false
45,64,21,false
7,68,89,false
67,26,66,false
29,61,73,false
0,24,57,false
30,51,9,false
97,59,20,false
47,2,82,false
4,5,0,false
90,8,34,false
30,4,34,false
79,89,90,true
45,59,0,false
64,15,50,false
40,53,96,false
99,53,5,false
14,39,86,false
77,86,34,false
17,85,70,false
65,51,30,false
25,83,19,false
24,68,90,false
65,77,21,false
49,51,44,false
83,15,60,false
38,62,35,false
1,67,73,false
31,78,47,false
82,36,29,false
59,9,76,false
2,78,81,false
91,43,80,true
44,62,26,false
2,0,5,false
81,86,29,false
10,50,93,false
17,49,35,false
88,89,44,false
93,45,82,false
85,26,35,false
94,5,19,false
36,33,27,false
51,90,96,true
63,90,44,false
88,44,36,false
19,98,11,false
16,2,11,false
81,63,31,false
18,43,39,false
1,78,55,false
12,62,35,false
70,2,75,false
3,89,83,false
82,33,14,false
5,9,5,false
95,84,11,false
48,47,11,false
55,58,58,false
18,66,53,false
68,69,6,false
36,2,23,false
78,90,80,true
75,53,61,false
90,47,42,false
40,94,15,false
6,37,76,false
29,85,7,false
56,6,55,false
60,42,74,false
20,95,68,false
84,66,34,false
29,42,70,false
11,65,65,false
68,65,28,false
68,75,66,false
2,39,98,false
3,65,47,false
44,32,47,false
60,42,47,false
42,76,32,false
80,65,35,false
54,50,82,false
28,47,32,false
82,68,47,false
67,29,73,false
17,33,26,false
30,3,53,false
87,34,26,false
59,95,58,true
73,41,81,false
0,10,21,false
35,77,62,false
33,54,75,false
1,50,89,false
46,55,83,false
94,43,13,false
62,64,33,false
69,26,50,false
82,22,4,false
52,22,39,false
14,72,43,false
75,63,36,false
56,64,4,false
46,23,21,false
69,44,51,false
93,31,8,false
79,81,83,true
33,45,57,false
69,64,43,false
39,98,49,false
4,21,16,false
8,17,43,false
99,5,86,false
38,61,70,false
51,72,16,false
21,20,84,false
4,21,60,false
57,84,60,false
7,39,73,false
42,27,46,false
22,66,81,false
63,48,72,false
30,41,98,false
87,24,65,false
10,32,60,false
79,86,7,false
57,82,85,true
58,2,29,false
10,66,0,false
30,62,37,false
82,75,91,true
24,61,50,false
53,46,85,false
19,14,41,false
93,9,18,false
64,57,3,false
95,63,13,false
65,60,77,false
95,35,98,true
24,32,79,false
93,31,61,false
87,18,39,false
14,52,41,false
76,98,73,true
54,98,62,false
68,78,31,false
53,5,98,false
41,22,69,false
44,1,41,false
89,59,19,false
85,15,82,false
17,67,78,false
65,19,54,false
99,41,75,true
27,12,55,false
67,37,95,false
55,4,52,false
98,49,88,false
94,19,79,false
64,81,78,false
27,14,49,false
15,36,35,false
66,61,4,false
57,47,22,false
7,39,66,false
11,65,80,false
14,85,87,false
39,24,59,false
44,80,81,false
11,34,94,false
95,97,17,false
11,67,62,false
62,60,95,false
80,15,1,false
67,14,71,false
96,49,61,false
43,96,15,false
99,38,20,false
25,91,51,false
36,26,88,false
5,23,66,false
28,70,51,false
29,73,98,false
70,39,83,false
11,13,37,false
21,63,65,false
11,70,11,false
37,0,16,false
31,43,32,false
27,98,67,false
36,13,20,false
33,29,94,false
15,39,7,false
92,83,63,false
13,34,48,false
47,8,61,false
89,72,54,false
94,70,53,true
90,26,28,false
82,26,97,false
2,33,68,false
17,50,4,false
41,69,52,false
89,73,94,true
10,71,17,false
59,22,11,false
91,40,75,false
75,62,25,false
55,87,69,false
31,66,57,false
4,62,50,false
75,98,57,true
13,99,72,false
2,65,68,false
14,75,24,false
94,35,99,false
7,32,8,false
13,22,1,false
5,55,40,false
10,66,49,false
5,43,9,false
11,56,89,false
92,61,77,true
23,43,5,false
82,81,89,true
59,4,63,false
84,81,32,false
25,28,93,false
63,54,86,false
55,54,51,false
49,86,61,false
27,0,28,false
31,2,75,false
14,6,88,false
83,71,52,false
1,97,68,false
21,84,67,false
86,45,1,false
62,65,62,false
44,44,79,false
7,36,45,false
97,5,56,false
78,44,51,false
49,66,99,true
41,16,28,false
1,16,23,false
86,73,46,false
61,63,29,false
29,43,32,false
98,9,85,false
94,14,17,false
58,34,90,false
96,48,58,false
25,78,94,false
47,38,62,false
4,67,97,false
22,3,40,false
37,77,17,false
19,78,72,false
59,99,2,false
19,83,86,false
21,19,3,false
59,21,31,false
55,61,85,false
12,52,51,false
14,75,21,false
69,1,61,false
50,84,96,true
68,78,11,false
66,71,85,false
83,89,54,false
18,76,78,false
74,69,23,false
93,72,60,true
7,93,3,false
35,28,3,false
91,35,19,false
19,34,22,false
92,64,60,false
68,4,41,false
10,94,71,false
44,38,67,false
40,62,36,false
90,16,65,false
75,58,58,false
36,40,58,false
21,72,14,false
48,25,79,false
19,1,36,false
89,57,65,false
21,79,42,false
77,52,27,false
52,19,13,false
46,68,14,false
51,0,85,false
38,8,38,false
57,29,7,false
19,69,75,false
54,82,37,false
97,54,78,false
5,91,67,false
66,21,3,false
37,67,37,false
24,44,15,false
46,47,11,false
28,80,65,false
67,55,44,false
64,31,43,false
20,89,76,false
97,14,78,false
75,51,11,false
39,32,23,false
9,95,52,false
48,19,89,false
15,40,21,false
32,87,19,false
8,77,28,false
23,47,80,false
81,17,37,false
50,45,48,false
31,21,19,false
53,99,45,false
48,75,47,false
44,58,44,false
75,62,95,true
73,67,4,false
21,92,89,false
84,5,8,false
98,33,68,false
90,15,17,false
5,92,24,false
47,24,79,false
9,84,8,false
89,40,21,false
43,85,73,false
52,73,48,false
55,39,30,false
81,45,74,false
86,49,50,false
91,0,98,false
17,52,6,false
73,90,17,false
25,51,46,false
8,73,25,false
42,60,41,false
76,83,93,true
33,16,72,false
83,12,14,false
53,53,4,false
13,9,44,false
53,49,68,false
25,23,10,false
24,3,28,false
80,38,40,false
70,33,31,false
16,13,65,false
68,31,94,false
35,51,32,false
25,80,5,false
22,61,15,false
94,67,82,false
72,16,25,false
98,39,1,false
28,0,10,false
23,84,43,false
83,85,67,false
63,8,74,false
52,99,48,false
98,13,74,false
93,17,36,false
53,98,73,false
39,69,52,false
20,20,29,false
77,86,92,true
78,55,8,false
70,92,59,true
95,95,42,true
82,49,2,false
50,81,57,false
82,80,50,false
36,42,29,false
87,30,6,false
85,5,37,false
30,59,67,false
34,98,65,false
62,72,10,false
13,93,27,false
65,10,52,false
15,30,24,false
92,4,72,false
57,49,42,false
33,43,30,false
18,87,66,false
13,92,39,false
22,87,25,false
52,22,90,false
68,49,4,false
33,8,90,false
77,13,5,false
73,33,44,false
60,13,84,false
88,58,56,false
60,46,93,false
91,43,59,false
38,2,53,false
32,83,98,true
65,41,22,false
16,97,54,false
25,9,95,false
21,45,16,false
95,26,68,false
42,41,57,false
17,92,58,false
7,86,76,false
53,32,35,false
82,50,94,true
27,25,6,false
10,38,36,false
17,94,52,false
74,25,60,false
34,51,82,false
10,23,45,false
30,22,93,false
20,44,20,false
10,79,29,false
77,42,35,false
36,82,42,false
14,76,5,false
1,81,73,false
7,13,98,false
87,6,95,false
74,35,98,false
78,39,25,false
95,60,98,false
44,17,63,false
16,9,37,false
84,30,22,false
52,31,79,false
21,31,34,false
45,62,41,false
24,1,99,false
77,50,49,false
55,59,33,false
56,14,2,false
44,29,6,false
74,24,76,false
21,67,81,false
39,47,10,false
77,80,95,true
3,81,4,false
7,41,20,false
4,15,43,false
43,64,8,false
76,15,31,false
38,65,87,false
9,47,2,false
49,68,92,false
94,92,5,false
57,57,60,false
78,69,6,false
25,83,49,false
82,31,57,false
9,48,43,false
15,47,94,false
12,4,79,false
76,41,95,false
92,71,23,false
34,39,35,false
26,10,24,false
76,88,84,true
91,91,0,false
0,12,28,false
51,65,5,false
58,18,83,false
58,28,48,false
16,33,51,false
45,54,62,false
88,85,67,false
74,2,96,false
83,23,13,false
66,23,63,false
86,92,15,false
83,3,47,false
25,86,19,false
65,38,17,false
43,6,50,false
22,60,35,false
40,12,33,false
19,56,86,false
58,92,4,false
50,75,9,false
90,18,66,false
38,40,27,false
40,60,75,false
31,71,16,false
10,97,13,false
78,19,35,false
9,43,92,false
84,15,36,false
88,60,2,false
78,77,53,false
70,40,73,false
79,61,0,false
61,21,23,false
47,78,15,false
93,94,24,false
58,25,78,false
73,26,60,false
75,31,84,false
41,47,39,false
23,58,1,false
97,10,92,false
